DESCRIPTION,USERID,USERNAME,USER_PARENT_ID,OPENDATE,ACCOUNT_BLOCK_REASONS,DESCRIPTION,SKIN,ACCOUNTTYPENAME,REALBALANCE,VERIFIEDPLAYER,VERIFIED_BANK_DETAILS,MOBILE_VERIFICATION
Regular,18432275,marand_rm97,,2025-01-03 02:25:09,",1290,1291,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18429474,napa91,,2025-01-02 19:32:47,",1020,1016,1010,1290,1012,1291,1017,1011,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18435119,Luhcris4544,,2025-01-03 15:23:14,",1020,1292,1291,1290,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18438958,ricand_ra86,,2025-01-04 01:24:38,",1291,1020,1290,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18422556,Adhrianaa,,2025-01-01 18:35:57,",1291,1290,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18427374,6013vitorio,,2025-01-02 12:17:14,",1290,1020,1291,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18440282,Prdrof,,2025-01-04 05:00:55,",1291,1020,1290,1343,1292,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18425859,Denyze24,,2025-01-02 03:41:06,",1291,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18420365,Pamela2233,,2025-01-01 09:54:14,",1290,1343,1020,1291,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18433064,Wellingto18,,2025-01-03 05:03:35,",1290,1291,1343,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18423955,Milamil2,,2025-01-01 22:10:11,",1291,1290,1292,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18422274,Jeff_odexter,,2025-01-01 17:43:53,",1291,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18431163,Ally2surf,,2025-01-02 23:24:37,",1020,1290,1291,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18428477,raffel_fe77,,2025-01-02 16:38:55,",1020,1016,1010,1290,1012,1291,1017,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18438170,gradei_ed91,,2025-01-03 23:35:42,",1291,1020,1290,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18427934,Geylson1,,2025-01-02 14:50:08,",1291,1290,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18420507,Nonok2025,,2025-01-01 10:41:41,",1290,1020,1291,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18434285,macmar_am89,,2025-01-03 11:49:41,",1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18421164,Rafamso17079,,2025-01-01 13:55:23,",1291,1290,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18420597,Anannias_,,2025-01-01 11:12:34,",1291,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18426508,Vandy38,,2025-01-02 06:34:06,",1292,1291,1343,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18432159,Dadakaue,,2025-01-03 02:05:19,",1290,1291,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18420870,Claytinho51,,2025-01-01 12:34:52,",1291,1290,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18427651,olekstest252,,2025-01-02 13:46:20,",1290,1291,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18421022,Camaleao2026,,2025-01-01 13:16:46,",1291,1290,1292,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18422448,Andy_002,,2025-01-01 18:13:24,",1291,1343,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18433886,Joaomarcos15,,2025-01-03 09:20:40,",1291,1020,1290,1326,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18421005,Sematri,,2025-01-01 13:12:54,",1291,1290,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18422494,Nasc_mento,,2025-01-01 18:23:20,",1291,1290,1020,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18439241,Marezzia94,,2025-01-04 02:08:13,",1291,1020,1290,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18423464,silluc_ls91,,2025-01-01 20:53:15,",1016,1010,1291,1011,1290,1017,1020,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18425938,Jefthan,,2025-01-02 03:58:14,",1291,1290,1020,1343,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18438185,Binho-762,,2025-01-03 23:37:35,",1291,1020,1290,1343,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18435532,deividgomes7,,2025-01-03 16:57:22,",1343,1020,1291,1290,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18443775,Rodrigobobs,,2025-01-04 19:55:24,",1020,1291,1290,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18428826,fergui_ru13,,2025-01-02 17:51:25,",1290,1291,1020,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
